country,city,date,pm25
Bangladesh,Dhaka,2016-03-01,108.7884097
Bangladesh,Dhaka,2016-04-01,49.78720445
Bangladesh,Dhaka,2016-05-01,51.31854839
Bangladesh,Dhaka,2016-06-01,39.01540616
Bangladesh,Dhaka,2016-07-01,29.36473755
Bangladesh,Dhaka,2016-08-01,35.24899058
Bangladesh,Dhaka,2016-09-01,36.76685393
Bangladesh,Dhaka,2016-10-01,57.68145161
Bangladesh,Dhaka,2016-11-01,103.4102921
Bangladesh,Dhaka,2016-12-01,164.9502688
Bangladesh,Dhaka,2017-01-01,239.5188953
Bangladesh,Dhaka,2017-02-01,165.0083612
Bangladesh,Dhaka,2017-03-01,92.12382234
Bangladesh,Dhaka,2017-04-01,60.527121
Bangladesh,Dhaka,2017-05-01,50.35666218
Bangladesh,Dhaka,2017-06-01,32.63407821
Bangladesh,Dhaka,2017-07-01,29.98055556
Bangladesh,Dhaka,2017-08-01,33.1420839
Bangladesh,Dhaka,2017-09-01,37.1860119
Bangladesh,Dhaka,2017-10-01,50.41573034
Bangladesh,Dhaka,2017-11-01,95.00555556
Bangladesh,Dhaka,2017-12-01,135.0255376
Bangladesh,Dhaka,2018-01-01,175.6261398
Bangladesh,Dhaka,2018-02-01,161.139881
Bangladesh,Dhaka,2018-03-01,110.4700139
Bangladesh,Dhaka,2018-04-01,70.19930676
Bangladesh,Dhaka,2018-05-01,43.40725244
Bangladesh,Dhaka,2018-06-01,35.84615385
Bangladesh,Dhaka,2018-07-01,45.60688666
Bangladesh,Dhaka,2018-08-01,126.0410628
Bangladesh,Dhaka,2018-09-01,985
Bangladesh,Dhaka,2018-10-01,985
Bangladesh,Dhaka,2018-11-01,132.3804809
Bangladesh,Dhaka,2018-12-01,153.8699301
Bangladesh,Dhaka,2019-01-01,181.2921196
Bangladesh,Dhaka,2019-02-01,180.8541667
Bangladesh,Dhaka,2019-03-01,122.4562584
Bangladesh,Dhaka,2019-04-01,71.11173184
Bangladesh,Dhaka,2019-05-01,59.30959302
Bangladesh,Dhaka,2019-06-01,31.12342216
Bangladesh,Dhaka,2019-07-01,32.46908602
Bangladesh,Dhaka,2019-08-01,25.90933694
Bangladesh,Dhaka,2019-09-01,35.75698324
Bangladesh,Dhaka,2019-10-01,61.49854651
Bangladesh,Dhaka,2019-11-01,92.04867872
Bangladesh,Dhaka,2019-12-01,145.9623149
Bangladesh,Dhaka,2020-01-01,215.8218623
Bangladesh,Dhaka,2020-02-01,159.9755043
Bangladesh,Dhaka,2020-03-01,101.2401628
Bangladesh,Dhaka,2020-04-01,52.68472222
Bangladesh,Dhaka,2020-05-01,46.91240876
Bangladesh,Dhaka,2020-06-01,33.48956885
Bangladesh,Dhaka,2020-07-01,32.26638773
Bangladesh,Dhaka,2020-08-01,27.50889193
Bangladesh,Dhaka,2020-09-01,34.36490251
Bangladesh,Dhaka,2020-10-01,57.36155914
Bangladesh,Dhaka,2020-11-01,98.18786127
Bangladesh,Dhaka,2020-12-01,178.1626344
Bangladesh,Dhaka,2021-01-01,216.0793103
Bangladesh,Dhaka,2021-02-01,179.9864253
Bangladesh,Dhaka,2021-03-01,146.8412921
Bangladesh,Dhaka,2021-04-01,82.99168053
Bangladesh,Dhaka,2021-05-01,49.51472651
Bangladesh,Dhaka,2021-06-01,42.46008708
Bangladesh,Dhaka,2021-07-01,26.32390382
Bangladesh,Dhaka,2021-08-01,36.80504909
Bangladesh,Dhaka,2021-09-01,36.05175983
Bangladesh,Dhaka,2021-10-01,76.85913313
Bangladesh,Dhaka,2021-11-01,130.3333333
Bangladesh,Dhaka,2021-12-01,145.922043
Bangladesh,Dhaka,2022-01-01,152.8382749
Bangladesh,Dhaka,2022-02-01,145.5984962
Bangladesh,Dhaka,2022-03-01,134.0887097
Bangladesh,Dhaka,2022-04-01,62.36953456
Bangladesh,Dhaka,2022-05-01,66.35391566
Bangladesh,Dhaka,2022-06-01,55.89444444
Bangladesh,Dhaka,2022-07-01,38.77504726
Bangladesh,Dhaka,2022-08-01,41.73428571
Bangladesh,Dhaka,2022-09-01,52.30138889
Bangladesh,Dhaka,2022-10-01,64.6061828
Bangladesh,Dhaka,2022-11-01,110.6801113
Bangladesh,Dhaka,2022-12-01,194.9433198
Bangladesh,Dhaka,2023-01-01,241.5679677
Bangladesh,Dhaka,2023-02-01,165.7872024
Bangladesh,Dhaka,2023-03-01,125.8629032
